id,make,model,model_year_start,model_year_end,grade,cab_type,body_type,drivetrain,engine,transmission,certification_category,licence_class_note,wheelbase_mm,kerb_mass_kg,kerb_mass_basis,gvm_kg,gcm_kg,front_gawr_kg,rear_gawr_kg,published_payload_kg,payload_basis,braked_towing_kg,towball_limit_kg,usable_load_length_mm,usable_load_width_mm,cab_to_rear_axle_mm,source_id,source_locator,verification_status,customer_selectable,notes,payload_arithmetic_matches,source_url,source_published_date,source_accessed_date
ford-ranger-2022my-4x4-raptor-double-pickup-ecoboost,Ford,Ranger,2022,,Raptor,double_cab,pickup_tub,"4x4 full-time","3.0L V6 twin-turbo EcoBoost petrol; 292 kW / 583 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2475,"Kerb weight with heaviest factory optional equipment",3130,5370,1520,1700,655,"Derived: GVM minus kerb weight. Ford does not publish a kerb-based payload for Raptor and instead quotes 708 kg from tare weight (2,422 kg)",2500,,,,,ford-ranger-2022my-au,"4x4 Sport, Wildtrak, Raptor 2022MY Vehicle Masses: Raptor",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Worst slide-on candidate in the range: lowest GVM (3,130 kg), lowest GCM (5,370 kg), lowest braked towing (2,500 kg) and heaviest kerb weight. The stored 655 kg is the conservative kerb-based derivation, not the Ford tare-based 708 kg figure. Petrol, not diesel. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-sport-double-pickup-biturbo,Ford,Ranger,2022,,Sport,double_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2288,"Kerb weight with heaviest factory optional equipment",3230,6350,1450,1959,942,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 Sport, Wildtrak, Raptor 2022MY Vehicle Masses: Sport 2.0L Bi-Turbo",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,206 kg gives 1,024 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-sport-double-pickup-v6,Ford,Ranger,2022,,Sport,double_cab,pickup_tub,"4x4 full-time","3.0L V6 turbo-diesel; 184 kW / 600 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2346,"Kerb weight with heaviest factory optional equipment",3280,6400,1490,1959,934,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 Sport, Wildtrak, Raptor 2022MY Vehicle Masses: Sport 3.0L V6",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Lowest published payload in the Ranger diesel range. Minimum kerb weight 2,264 kg gives 1,016 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-wildtrak-double-pickup-biturbo,Ford,Ranger,2022,,Wildtrak,double_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2341,"Kerb weight with heaviest factory optional equipment",3280,6350,1490,1959,939,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 Sport, Wildtrak, Raptor 2022MY Vehicle Masses: Wildtrak 2.0L Bi-Turbo",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,271 kg gives 1,009 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-wildtrak-double-pickup-v6,Ford,Ranger,2022,,Wildtrak,double_cab,pickup_tub,"4x4 full-time","3.0L V6 turbo-diesel; 184 kW / 600 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2399,"Kerb weight with heaviest factory optional equipment",3350,6400,1490,1959,951,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 Sport, Wildtrak, Raptor 2022MY Vehicle Masses: Wildtrak 3.0L V6",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Highest GVM (3,350 kg) in the Ranger range. Minimum kerb weight 2,329 kg gives 1,021 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-double-cc-singleturbo,Ford,Ranger,2022,,XL,double_cab,cab_chassis,"4x4 part-time","2.0L single-turbo diesel; 125 kW / 405 Nm","6-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2046,"Kerb weight with heaviest factory optional equipment; excludes tray body",3250,6200,1450,1959,1204,"Published payload based on kerb weight; excludes tray body",3500,,,,,ford-ranger-2022my-au,"4x4 XL 2022MY Vehicle Masses: 4x4 Double Cab Cab-Chassis 2.0L Single Turbo",source_verified,0,"Ford also publishes minimum kerb weight 1,990 kg giving 1,260 kg payload; the conservative figure is stored. Lower GCM of 6,200 kg applies to the single-turbo engine. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-double-cc-biturbo,Ford,Ranger,2022,,XL,double_cab,cab_chassis,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2072,"Kerb weight with heaviest factory optional equipment; excludes tray body",3250,6350,1490,1959,1178,"Published payload based on kerb weight; excludes tray body",3500,,,,,ford-ranger-2022my-au,"4x4 XL 2022MY Vehicle Masses: 4x4 Double Cab Cab-Chassis 2.0L Bi-Turbo",source_verified,0,"Ford also publishes minimum kerb weight 2,003 kg giving 1,247 kg payload; the conservative figure is stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-double-pickup-singleturbo,Ford,Ranger,2022,,XL,double_cab,pickup_tub,"4x4 part-time","2.0L single-turbo diesel; 125 kW / 405 Nm","6-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2201,"Kerb weight with heaviest factory optional equipment",3250,6200,1450,1959,1049,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XL 2022MY Vehicle Masses: 4x4 Double Cab Pick-up 2.0L Single Turbo",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,118 kg gives 1,132 kg payload; conservative figure stored. Lower GCM of 6,200 kg applies to the single-turbo engine. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-double-pickup-biturbo,Ford,Ranger,2022,,XL,double_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2227,"Kerb weight with heaviest factory optional equipment",3250,6350,1490,1959,1023,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XL 2022MY Vehicle Masses: 4x4 Double Cab Pick-up 2.0L Bi-Turbo",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,143 kg gives 1,107 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-single-cc-biturbo,Ford,Ranger,2022,,XL,single_cab,cab_chassis,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,1903,"Kerb weight with heaviest factory optional equipment; excludes tray body",3230,6350,1490,1959,1327,"Published payload based on kerb weight; excludes tray body",3500,,,,,ford-ranger-2022my-au,"4x4 XL, XLT 2022MY Vehicle Masses: 4x4 Single Cab Cab-Chassis",source_verified,0,"Ford also publishes minimum kerb weight 1,835 kg giving 1,395 kg payload; the conservative figure is stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-super-cc-biturbo,Ford,Ranger,2022,,XL,super_cab,cab_chassis,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2007,"Kerb weight with heaviest factory optional equipment; excludes tray body",3230,6350,1490,1959,1223,"Published payload based on kerb weight; excludes tray body",3500,,,,,ford-ranger-2022my-au,"4x4 XL, XLT 2022MY Vehicle Masses: 4x4 Super Cab Cab-Chassis",source_verified,0,"Ford also publishes minimum kerb weight 1,938 kg giving 1,292 kg payload; the conservative figure is stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xl-super-pickup-biturbo,Ford,Ranger,2022,,XL,super_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2178,"Kerb weight with heaviest factory optional equipment",3230,6350,1490,1959,1052,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XL, XLT 2022MY Vehicle Masses: 4x4 Super Cab Pick-up",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,091 kg gives 1,139 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xls-double-pickup-biturbo,Ford,Ranger,2022,,XLS,double_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2272,"Kerb weight with heaviest factory optional equipment",3230,6350,1450,1959,958,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XLS, XLT 2022MY Vehicle Masses: 4x4 Double Cab Pick-up XLS",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,151 kg gives 1,079 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xlt-double-cc-v6,Ford,Ranger,2022,,XLT,double_cab,cab_chassis,"4x4 full-time","3.0L V6 turbo-diesel; 184 kW / 600 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2129,"Kerb weight with heaviest factory optional equipment; excludes tray body",3280,6400,1490,1959,1151,"Published payload based on kerb weight; excludes tray body",3500,,,,,ford-ranger-2022my-au,"4x4 XLS, XLT 2022MY Vehicle Masses: 4x4 Double Cab Cab-Chassis 3.0L V6",source_verified,0,"Ford also publishes minimum kerb weight 2,109 kg giving 1,171 kg payload; the conservative figure is stored. Highest GVM (3,280 kg) and GCM (6,400 kg) of the cab-chassis range. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xlt-double-pickup-biturbo,Ford,Ranger,2022,,XLT,double_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2271,"Kerb weight with heaviest factory optional equipment",3230,6350,1450,1959,959,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XLS, XLT 2022MY Vehicle Masses: 4x4 Double Cab Pick-up XLT 2.0L Bi-Turbo",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,197 kg gives 1,033 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xlt-double-pickup-v6,Ford,Ranger,2022,,XLT,double_cab,pickup_tub,"4x4 full-time","3.0L V6 turbo-diesel; 184 kW / 600 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2331,"Kerb weight with heaviest factory optional equipment",3280,6400,1490,1959,949,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XLS, XLT 2022MY Vehicle Masses: 4x4 Double Cab Pick-up XLT 3.0L V6",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,256 kg gives 1,024 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-2022my-4x4-xlt-super-pickup-biturbo,Ford,Ranger,2022,,XLT,super_cab,pickup_tub,"4x4 part-time","2.0L bi-turbo diesel; 154 kW / 500 Nm","10-speed automatic",,"Standard light-vehicle licence subject to final configuration",,2189,"Kerb weight with heaviest factory optional equipment",3230,6350,1450,1959,1041,"Published payload based on kerb weight",3500,,,,,ford-ranger-2022my-au,"4x4 XL, XLT 2022MY Vehicle Masses: 4x4 Super Cab Pick-up XLT",source_verified,0,"Tub-compatible camper only unless engineered tray conversion is verified. Minimum kerb weight 2,145 kg gives 1,085 kg payload; conservative figure stored. Refresh against the 2026.50MY table before customer exposure.",1,https://www.ford.com.au/content/dam/ecomm/Release-3/AU/landing/next-gen-ranger-ebrochure-specifications.pdf,,2026-08-17
ford-ranger-super-duty-my26-single-cab,Ford,"Ranger Super Duty",2026,,"Super Duty",single_cab,cab_chassis,4x4,"3.0L V6 turbo-diesel","10-speed automatic",,"Check state licence requirements after body fitment and final GVM",,2518,"Derived from GVM minus published maximum payload; excludes tray",4500,8000,1900,2800,1982,"Maximum payload; single cab excluding tray",4500,,,,,ford-ranger-super-duty-au,"Overview and disclosures: Carry more / payload / GAWR",source_verified,0,"Do not expose until Ford publishes a full delivered-variant mass table and tray/body deductions are configured.",1,https://www.ford.com.au/showroom/trucks-and-vans/ranger/super-duty/,,2026-08-17
gwm-cannon-2026-lux-dual-cab-pick-up-tub,GWM,Cannon,2026,,"Lux Dual Cab",dual_cab,pickup_tub,4x4,"2.4L turbo-diesel","9-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2230,"Published kerb weight",3225,6200,1500,1950,995,"GVM minus kerb",3500,350,1520,1520,,gwm-cannon-2026-au,"Official 2026 brochure: Lux Dual Cab Pick-up tub",source_verified,0,"Load body as published: Pick-up tub. Manufacturer drivetrain description: 4x4. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-lux-dual-cab-chassis-factory-alloy-tray,GWM,Cannon,2026,,"Lux Dual Cab Chassis",dual_cab,cab_chassis,4x4,"2.4L turbo-diesel","9-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2230,"Published kerb weight; excludes tray body",3225,6200,1500,1915,995,"GVM minus kerb",3500,350,1730,1895,,gwm-cannon-2026-au,"Official 2026 brochure: Lux Dual Cab Chassis Factory alloy tray",source_verified,0,"Load body as published: Factory alloy tray. Manufacturer drivetrain description: 4x4.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-premium-dual-cab-pick-up-tub,GWM,Cannon,2026,,"Premium Dual Cab",dual_cab,pickup_tub,4x4,"2.0L turbo-diesel","8-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2140,"Published kerb weight",3135,5830,1500,1915,995,"GVM minus kerb",3200,320,1520,1520,,gwm-cannon-2026-au,"Official 2026 brochure: Premium Dual Cab Pick-up tub",source_verified,0,"Load body as published: Pick-up tub. Manufacturer drivetrain description: 4x4. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-premium-single-cab-4x2-factory-alloy-tray,GWM,Cannon,2026,,"Premium Single Cab 4x2",single_cab,cab_chassis,4x2,"2.0L turbo-diesel","8-speed automatic",,"Standard light-vehicle licence subject to final configuration",3470,1900,"Published kerb weight; excludes tray body",3050,5590,1500,1915,1150,"GVM minus kerb",3200,320,2630,1895,,gwm-cannon-2026-au,"Official 2026 brochure: Premium Single Cab 4x2 Factory alloy tray",source_verified,0,"Load body as published: Factory alloy tray. Manufacturer drivetrain description: 4x2.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-ultra-dual-cab-pick-up-tub,GWM,Cannon,2026,,"Ultra Dual Cab",dual_cab,pickup_tub,4x4,"2.4L turbo-diesel","9-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2230,"Published kerb weight",3225,6200,1500,1950,995,"GVM minus kerb",3500,350,1520,1520,,gwm-cannon-2026-au,"Official 2026 brochure: Ultra Dual Cab Pick-up tub",source_verified,0,"Load body as published: Pick-up tub. Manufacturer drivetrain description: 4x4. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-vanta-dual-cab-pick-up-tub,GWM,Cannon,2026,,"Vanta Dual Cab",dual_cab,pickup_tub,4x4,"2.4L turbo-diesel","9-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2230,"Published kerb weight",3225,6200,1500,1950,995,"GVM minus kerb",3500,350,1520,1520,,gwm-cannon-2026-au,"Official 2026 brochure: Vanta Dual Cab Pick-up tub",source_verified,0,"Load body as published: Pick-up tub. Manufacturer drivetrain description: 4x4. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
gwm-cannon-2026-xsr-pick-up-tub,GWM,Cannon,2026,,XSR,dual_cab,pickup_tub,4x4,"2.4L turbo-diesel","9-speed automatic",,"Standard light-vehicle licence subject to final configuration",3230,2330,"Published kerb weight",3205,6300,1585,1850,875,"GVM minus kerb",3500,350,1520,1520,,gwm-cannon-2026-au,"Official 2026 brochure: XSR Pick-up tub",source_verified,0,"Load body as published: Pick-up tub. Manufacturer drivetrain description: 4x4 with front/rear differential locks. Tub-compatible camper only unless engineered tray conversion is verified.",1,https://assets.gwmanz.com/f/256395/x/f66059e2b4/y4rt9h-au-cannon-brochure-2026-a4-210x297mm.pdf,,2026-08-18
