id,manufacturer,title,url,published_date,accessed_date,source_type,market,notes
iveco-eurocargo-my24-4x4-au,"IVECO Australia","Eurocargo MY24 4x4",https://www.iveco.com/au/Eurocargo/Eurocargo-MY24-4x4,,2026-08-17,manufacturer_webpage,AU,"Official Australian model page; exposes 15,000 kg GVM, 19,000 kg GCM and 3,915/4,150 mm wheelbases at model level."
isuzu-nps-75-175-4x4-au,"Isuzu Australia","NPS 75-175 4x4 Specifications",https://prd1.isuzu.com.au/media/5rrdsxuw/spec_nps_75_175_4x4_2605_r3.pdf,,2026-08-17,manufacturer_pdf,AU,"Official current Australian day-cab and crew-cab specification sheet."
isuzu-dmax-25-5my,"Isuzu UTE Australia","25.5MY Isuzu D-MAX Specifications",https://cdn-iua.dataweavers.io/-/media/d-max/documents/25-5my-isuzu-d-max-vehicle-specifications.pdf?rev=30680420a74d44c9af2c12f77ee2d85d,,2026-08-17,manufacturer_pdf,AU,"Official Australian specification table. Cab-chassis kerb mass excludes tray body."
kgm-musso-my26-au,"KGM Australia","Musso and Musso XLV MY26 Specifications and Features",https://payload.therefinerydesign.com/api/media/file/KGM-Musso-MY26-Specs-and-Features.pdf,,2026-08-18,manufacturer_pdf,AU,"Official MY26 specification sheet. Verified directly: resolves the previously unattributed 880 kg and 1,010 kg payload configurations as Musso XLV variants."
kia-tasman-my26-au,"Kia Australia","Kia Tasman Model Year 2026 Brochure",https://www.kia.com/content/dam/kwcms/au/en/images/pdf/tasman/kia-tasman-brochure.pdf,,2026-08-17,manufacturer_pdf,AU,"Official Australian brochure for MY26 dual-cab pickup variants. These are tub vehicles, not cab-chassis records."
kia-tasman-cab-chassis-au,"Kia Australia","Kia Tasman Cab Chassis Brochure",https://www.kia.com/content/dam/kwcms/au/en/images/pdf/tasman/kia-tasman-cab-chassis-brochure.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian cab-chassis brochure, separate from the pickup brochure. Verified directly. Kia states kerb weight and payload exclude the weight of tray bodies."
man-tgm-4x4-rv-au,"MAN Truck & Bus Australia","TGM 13.250-290 4x4 BL CH RV Specification",https://www.man.com.au/wp-content/uploads/2025/02/TGM-13.250-290-4X4-RV-Spec.pdf,2025-02-01,2026-08-17,manufacturer_pdf,AU,"Official Australian RV chassis specification. GCM is listed as 28,000 kg, with 20,000 kg applicable with engageable transfer case; conservative 20,000 kg is stored."
mazda-bt50-payload-au,"Mazda Australia","Mazda BT-50 Payload Calculator",https://www.mazda.com.au/cars/bt-50/payload/,,2026-08-17,manufacturer_webpage,AU,"Official interactive calculator. Publishes bare-chassis and standard-tray-fitted mass states per grade, plus an accessory weight table (canopy 130 kg, bull bar 62-68 kg, suspension upgrade 85-95 kg). Vehicle assets are dated October 2025."
mercedes-unimog-u4023-au,"Mercedes-Benz Trucks Australia","Unimog U 4023 Extreme Off-road Technical Data",https://www.mercedes-benz-trucks.com/au/en/trucks/unimog-offroad.html,,2026-08-17,manufacturer_webpage,AU,"Current Australian U 4023 page. The page labels 10.3 t as maximum permissible gross combination weight, while context suggests permissible gross vehicle weight; retain as a review issue."
mitsubishi-triton-26my-au,"Mitsubishi Motors Australia","26MY Triton Brochure",https://www.mitsubishi-motors.com.au/content/dam/mmal/pdfs/vehicle-brochures/26MY%20Triton%20Brochure.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian 26MY brochure with a full 14-column Dimensions and Weights table covering 2WD and 4WD, single, club and double cab, in cab-chassis and pick-up bodies. Supersedes the 25MY model-level page."
mitsubishi-triton-25my-dcc,"Mitsubishi Motors Australia","Triton Cab Chassis - Payload, Towing & Axle Strength",https://www.mitsubishi-motors.com.au/blog/2025/payload-towing-and-axle-strength.html,2025-05-27,2026-08-17,manufacturer_webpage,AU,"Official model-level figures for 25MY GLX Double Cab Chassis; page says 4x2/4x4 and manual/automatic are available but does not map mass figures to each combination."
nissan-navara-au,"Nissan Australia","All-New Navara Specifications and Pricing",https://www.nissan.com.au/vehicles/browse-range/all-new-navara/specs-and-pricing.html,,2026-08-18,manufacturer_webpage,AU,"Official Australian specifications page. Verified directly for all four grades."
ram-1500-au,"RAM Trucks Australia","RAM 1500 Grade Pages",https://www.ramtrucks.com.au/vehicles/1500-big-horn-crew-cab/,,2026-08-18,manufacturer_webpage,AU,"NOT INDEPENDENTLY VERIFIED: the RAM grade pages render client-side with no mass data in the HTML, and the supplied compilation cites a third-party site as its secondary source."
ram-2500-3500-au,"RAM Trucks Australia","RAM 2500 and 3500 Laramie Cummins High Output Specification",https://resource.digitaldealer.com.au/pdf/211467751697043e181834349841250.pdf,,2026-08-18,manufacturer_pdf,AU,"Official RAM specification brochure, hosted on a dealer resource CDN rather than ramtrucks.com.au. Verified directly, including the optional derating of the 3500 to 4,495 kg GVM and 795 kg payload."
ram-1500-2026-au,"RAM Trucks Australia","RAM 1500 Specification Brochure",https://resource.digitaldealer.com.au/pdf/4385833746a1d25a063869361464389.pdf,,2026-08-18,manufacturer_pdf,AU,"Official RAM specification brochure on a dealer resource CDN. Verified directly. Supersedes the earlier unverified RAM 1500 rows, which had the Rebel and Limited kerb and payload figures wrong."
toyota-lc70-oct-2025,"Toyota Australia","Toyota LC70 Spec Table October 2025",https://www.toyota.com.au/-/media/toyota/main-site/vehicle-hubs/lc70/files/20251021_lc70_spec_table_gto009454.pdf?rev=4e4c662a09fe418c9a5a7b00509b16dd,2025-10-21,2026-08-17,manufacturer_pdf,AU,"Official Australian specification table. Toyota labels weights approximate."
toyota-tundra-may-2026,"Toyota Australia","Toyota Tundra Spec Table May 2026",https://www.toyota.com.au/-/media/toyota/main-site/vehicle-hubs/tundra/files/20260506-tundra_spec-table_gto009469-v1.pdf?rev=fe8c44cde59d4c339adb2c9124278b61,2026-05-06,2026-08-17,manufacturer_pdf,AU,"Official Australian specification table. Payload is derived from published GVM minus maximum kerb weight."
toyota-hilux-jun-2026,"Toyota Australia","Toyota HiLux Spec Table June 2026",https://www.toyota.com.au/-/media/toyota/main-site/vehicle-hubs/hilux/files/20260630_hilux_spec_sheet_gto010060.pdf?rev=d222769888af49519347727deb13bb73,2026-06-30,2026-08-17,manufacturer_pdf,AU,"Official Australian specification table. Toyota labels weights approximate."
vw-amarok-my25-au,"Volkswagen Group Australia","Amarok MY25 Brochure and Specifications",https://www.volkswagen.com.au/idhub/content/dam/onehub_pkw/importers/au/pdfs/commercial-vehicles/VW_CV_Amarok_VWCAMAROKMY25_BrochureSpec_Sep25_FA.pdf,,2026-08-18,manufacturer_pdf,AU,"Official Australian MY25 brochure. Verified directly: kerb and payload rows match to the kilogram. Note 2 states Volkswagen derives payload by subtracting kerb weight from GVM, so its published payload is a calculation, not an independent measurement."
